Raw,CD-RE,Polarity
#MakeSchoolASaferPlace,,0
The most handsome man in the world is Michael Ballack. Nigeria will be great again without terrorists.… https://t.co/1kjLGS9MsS,lelaki tampan dunia michael ballack nigeria kembali hebat pengganas,1
#MakeSchoolASaferPlace,,0
"Tn Hj Zainal tak pernah mengecewakan.
#MakeSchoolASaferPlace",tuan haji zainal tak mengecewakan,1
Brave girl. Not all people have the audacity to stand up and spoke out loud the truth. i stand with you gurl. We're… https://t.co/Vsx8O8CoBV,Gadis berani tidak orang mempunyai keberanian untuk berdiri bersuara keras kebenaran berdiri gurl,1
Also apa tindakan dari menteri utk pastikan #MakeSchoolASaferPlace ini become reality. Takkan nak suruh adik ain tu… https://t.co/4LDokmoMBQ,tindakan menteri untuk pastikan menjadi realiti tak nak suruh adik ain,0
"@ant33ater He's talking about you from 10:00 to 15:00

#MakeSchoolASaferPlace 

https://t.co/1GPzN7QMx6",bercakap jam 10 00 15 00,0
All of yall are so silent about it #JusticeforGanapathy  #MakeSchoolASaferPlace,yall senyap mengenainya,-1
"#MakeSchoolASaferPlace kini semakin trending.
Setelah bertahun meninggalkan zaman sekolah, saya pun kurang ingat pa… https://t.co/05AWtZguJc",trending bertahun meninggalkan zaman sekolah ingat kurang,0
PREACH IT DAZAI #MakeSchoolASaferPlace https://t.co/LoiGNVDbbi,berdakwah dazai,0
I believe in @ant33ater .. i pon pernah jadi student and bila cikgu lelaki buat lawak lucah all the boys dalam clas… https://t.co/dbWmLdxX09,Saya percaya i menjadi pelajar cikgu lawak lucah budak lelaki kerang,-1
"How terrifying it is to think that these enablers life among us. Bayangkan, kau perempuan and abah kau abang kau ad… https://t.co/evcKd21P0l",betapa menakutkannya memikirkan membolehkan kehidupan bayangkan kau abah kau abang kau ad,-1
Dah agak 😒😖😭 #MakeSchoolASaferPlace #MakeSchoolsASaferPlace https://t.co/2eFiG0Sv7G,wajah bingung wajah kuat menangis muka,0
"#MakeSchoolASaferPlace People Who Joke About Rape, Sexual Harassment &amp; Fucking Period Peepers bole pergi mampos!!!",orang bergurau mengenai gangguan seksual rogol amp peepers mampos,-1
#MakeSchoolASaferPlace,,0
Middle school vice principal hurls beer at trans woman at restaurant as his wife shouts slurs… https://t.co/ougSKdadSs,naib pengetua sekolah menengah membuang bir wanita trans restoran isterinya menjerit penghinaan,-1
"#MakeSchoolASaferPlace
#MakeSchoolASaferPlace 
this # not only aimed to the women, but also to the guys out there.… https://t.co/ZRuDaboZAi",sahaja ditujukan wanita lelaki luar,0
It’s really troubling when schools are not a safe place especially for little girls. And what’s worse is that there… https://t.co/2b6PHetHSU,sungguh merisaukan sekolah tempat selamat terutama gadis gadis buruk,-1
"cikgu paling takde maruah! 

#MakeSchoolASaferPlace https://t.co/goN1o7WZhJ",cikgu takde maruah,-1
"Jijiknya perangai sorang2 ya Allah. Dunia sekarang sumpah scary 😭😭😭😭😭😭😭 

Sebab orang macamni lah budak2 takut nak… https://t.co/AMoxtOzDEg",jijiknya perangai sorang2 ya allah dunia sumpah menakutkan kuat menangis muka kuat menangis muka kuat menangis kuat menangis muka kuat menangis kuat menangis muka kuat menangis muka kuat menangis kuat menangis muka kuat menangis muka orang macamni budak2 takut nak nak nak nak nak nak nak nak nak,-1
Found this on tiktok and yeah our community is sick. #MakeSchoolASaferPlace https://t.co/Qed2A4ix6W,temui tiktok ya komuniti sakit,-1
#MakeSchoolASaferPlace 💪 https://t.co/Xp69Hey2WH,bisep lentur,0
this is so messed up i'm about to start crying myself #MakeSchoolASaferPlace https://t.co/p7gpzBVfw0,kacau mula menangis,-1
Tenat dah masyarakat skrg. Memang dah hilang rasa malu. Semuanya melayu islam pulak tu yg komen mcm tu. Aku harap a… https://t.co/AGF0qtFtAJ,tenat masyarakat rasa hilang malu melayu islam komen harap a,-1
"Dik, thank u for being brave. We know its not easy for u to speak up. But me myself as an adult will always have yo… https://t.co/zuH1FIWPkx",adik terima kasih berani tahu tidak mudah untuk bersuara orang dewasa mempunyai yo,1
"#MakeSchoolASaferPlace #makeschoolasafeplace 

Bagus ye perangai seorang cikgu, melibas muka anak murid dgn sejadah… https://t.co/78gYHBWTAu",bagus ya perangai cikgu melibas anak murid sejadgn,-1
#MakeSchoolASaferPlace #r4p3isnotajoke https://t.co/zgf6xQukuP,,0
"its not all men but its enough men 

#MakeSchoolASaferPlace",manusia lelaki mencukupi,0
"Attention to all teachers with a degree holder, your education is way beyond than ours but the way you talked in a… https://t.co/IUc70Zgcz7",perhatian guru pemegang ijazah pendidikan jauh tinggi pendidikan cara bercakap,0
#MakeSchoolASaferPlace,,0
We need both #MakeSchoolASaferPlace #MakeMalaysiaASaferPlace,memerlukan kedua duanya,0
@wajdi_budiman #MakeSchoolASaferPlace #KerajaaanGagal,,0
