Raw,CD-RE,Polarity
Time raya juak sik blh merentas 😀😀 tpi bazaar blh bukak 🙉 kali rah bazaar sikda covid kkya time raya covid auto ada #KerajaanGagal,time raya juak sik merentas grinning face bazaar bukak hear no evil monkey kali rah bazaar sikda covid kkya time raya covid auto ada,1
@501Awani Guna saluran yang betul is not valid anymore. Banyak isu sekarang yang at least ada penyelesaian semua gu… https://t.co/iCT2wJuiNL,guna saluran betul tak sah isu sekurang kurangnya ada penyelesaian gu,-1
"Kan dah kata, lelaki Melayu Isle Konservatif takleh kawal emosi &amp; nafsu macam natang liar 

Dayus. Inilah sebab uta… https://t.co/u5qDnSbTrY",kata melayu isle konservatif takleh kawal emosi amp nafsu natang liar dayus uta,-1
"@501Awani Kenapa tak ajak rakyat join sekali berbuka? Kan kerajaan PN ni ""prihatin"" so tak salah kan ajak rakyat be… https://t.co/AYfKNRokPV",tak ajak rakyat sertai berbuka kerajaan kerajaan pn prihatin jadi tak salah ajakan rakyat menjadi,-1
#CoronavirusIndia #FlipFlop #flipped #sports #soutienauxgeneraux #วิชาสามัญ64 #تجمع_البيضات #fight #KerajaanGagal… https://t.co/RXEBQwWn0f,,0
"Errr no, #KerajaanGagal adalah musuh kita bersama https://t.co/EuL9ZtA0Zd",errr no musuh,-1
"Ingat bulan Ramadhan ni setan digari...

...tapi rupanya byk setan diam &amp; membiarkan kerosakan berlaku...

Byk juga… https://t.co/Zgzieo4TDm",bulan ramadhan setan digari byk setan diam amp kerosakan berlaku byk,-1
@faizxzikry isu semasa lepatu #KerajaanGagal  lepastu fazura,isu lepatu lepastu fazura,0
#EatYourFriendsDay #FindYourStar #NFLDraft #TalksWithJaDinesEp1 #saveเพนกวิน #KerajaanGagal #IZONE #wednesdaythought https://t.co/3Je2jbLiRt,,0
"Betul tuu. Rakyat Malaysia kena bersatu. 

Tak payah peduli VVIP, Menteri, Selebriti ke sesiapa yang buat hal. Peeg… https://t.co/yi2RGiCLI6",tuu rakyat malaysia kena bersatu tak payah peduli vvip menteri selebriti sesiapa peeg betul,0
"Menteri yg cetuskan gelombang covid masa kita hampir menang dulu patut masuk jail lah giler. lucutkan jawatan, bayar pampasan #Kerajaangagal",menteri cetuskan gelombang covid masa patut masuk penjara giler lucutkan jawatan bayar pampasan,-1
?? #KerajaanGagal https://t.co/OaRyyfErSD,,0
"Fvck, Malaysia makin hati makin rosak.

#KerajaanGagal https://t.co/NedLfUMl0C",fvck malaysia hati rosak,-1
@DrRozanizam Seperti semua tahu. Kita pernah menang dahulu. Sudah ikut apa yg kerajaan mahukan duduk dirumah ikut s… https://t.co/gLejvQrEEw,tahu menang ikut kerajaan duduk dirumah s,0
Yg buat sidang media skrg tak function. Nampak kan? #KerajaanGagal https://t.co/qcmdePpRac,media tak berfungsi,-1
"Three things need to be tweeted before sleep. 

#KerajaanGagal 
#DengkiKe 
Fazura",tiga perkara perlu tweet fazura tidur,0
"Dimana hala tuju Malaysia sekarang ini? 
#KerajaanGagal",dimana tuju hala malaysia,0
"To this damn government, yes #KerajaanGagal https://t.co/iW2EZWDpwp",kerajaan sialan ya,-1
"were living in Malaysia with funny government and funny decisions 

#KerajaanGagal 
#CancelTimbalanIGP 
#Plandemik",tinggal malaysia keputusan pemerintah lucu lucu,-1
"@PDRMsia da sedar ke belum ni? Beria saman sana sini, last² jd la kambing hitam..abis rakyat kutuk korang mcm²,… https://t.co/gSIMnixNDO",sedar ada beria saman last2 jadi kambing hitam abis rakyat kutuk mcm2,-1
"@MuhyiddinYassin kami tau kau banyak buat inisiatif sebelum ini, tapi sekarang lain cerita. makin hari makin teruk… https://t.co/1QAasTvOOF",tahu kau inisiatif cerita hari teruk,-1
"Are we as Malaysians going to standby and let this happen to us?
#KerajaanGagal 
#KerajaanZalim https://t.co/EOZbSqMEnu",adakah orang malaysia bersiap sedia membiarkan berlaku,0
"Elaun khas  RM200 sebulan kepada anggota tentera, polis, kastam, imigresen, anggota Angkatan Pertahanan Awam serta… https://t.co/p9wUxQd4kb",elaun khas rm200 sebulan anggota tentera polis kastam imigresen angkatan anggota pertahanan awam anggota tentera,1
"Dear Malaysia, fix yourself. You don't need much. Just listen. LISTEN TO WHAT THE PEOPLE HAVE TO SAY AND ACT ACCORD… https://t.co/qoimPhaC4C",Malaysia sayang memperbaiki tidak memerlukan mendengar dikatakan orang orang bertindak sesuai,1
@mkini_bm Kerajaan Negeri power 👍👍👍.  #KerajaanGagal,kerajaan negeri power thumbs up thumbs up thumbs up,1
"1st rule living in Malaysia;
Dilarang menjadi miskin.
#KerajaanGagal https://t.co/yvie0f3Hqv",1 rule living in malaysia dilarang jadi miskin,-1
"Easter egg dalam Avengers 
#KerajaanGagal https://t.co/bJKGG07UZT",telur easter avengers,0
"I made one
#KerajaanGagal https://t.co/BluN3GYyjj",membuatnya,0
@keroaje @Khairykj #KerajaanGagal,,0
"Sini cobain jadi orang susah,biar tau gimana rasanya dihina  orang berduit. 
#IkatanCintaEp253 #AmankanRemoteTV… https://t.co/z5Fup2GCx9",cobain jadi orang susah biar tahu gimana rasanya dihina orang berduit,-1
Raya 2020-2021 bukan lagi bermaksud kunjung mengunjungi untuk rapatkan siratulrahim. Tapi lebih kepada kunjung meng… https://t.co/DC1jvQtArl,raya 2020 2021 bermaksud kunjung mengunjungi untuk rapatkan siratulrahim kunjung meng,1
@PenerangHARAPAN Disebabkan malas lah #KerajaanGagal,disebabkan malas,0
malaysia dah tenat. #KerajaanGagal,malaysia tenat,-1
malaysia nak mcm ni ke? ye #KerajaanGagal  tapi please jgn lupa #KitaJagaKita  ini Allah kemain semua g baazar tar… https://t.co/itWp9eP2nc,malaysia nak ya tolong allah kemain pergi baazar tar,0
@501Awani @MuhyiddinYassin #KerajaanGagal,,0
"Kerajaan tambah baik aplikasi MySejahtera supaya  orang ramai boleh mendaftarkan program vaksinasi ibu, bapa, datuk… https://t.co/0zZXSl3dCn",kerajaan baik tambah aplikasi mysejahtera orang ramai mendaftarkan program vaksinasi bapa ibu datuk,1
"Bantuan khas kewangan, RM50,000 jika kesan sampingan yang serius kepada penerima vaksin dan RM500,000 jika hilang u… https://t.co/PLpwGtawbm",Bantuan khas 50 000 ada kesan sampingan penerima vaksin rm500 000 hilang u,1
Pelan Halatuju Strategik e-Dagang 2.0 (NESR 2.0) manjadi pemangkin pertumbuhan ekosistem e-Dagang dan Malaysia adal… https://t.co/XgUyLFwLFo,pelan halatuju strategik e dagang 2 0 nesr 2 0 manjadi pemangkin pertumbuhan sistem ekoe dagang malaysia adal,1
#JusticeforGanapathy #PDRMgagal #KerajaanGagal,,0
"Malaysia berjaya memperoleh tambahan 10,000 kuota haji menjadikan kuota rasmi haji Malaysia adalah sebanyak 41,600 orang. #kerajaangagal",malaysia berjaya memperoleh 10 000 tambahan kuota haji menjadikan kuota rasmi haji malaysia 41 orang berjumlah 41 600 orang,1
"Ingat ya tuan-tuan. Ini kerajaan 8374.

Kalau tak function, tahu lah puncanya siapa.

#KerajaanGagal #KerajaanZalim https://t.co/rb3N0OhMPf",ya tuan ingat kerajaan 8374 tak fungsi tahu puncanya,0
"Peka B40 bertujuan untuk menampung keperluan kesihatan golongan berpendapatan rendah, dengan memberi fokus terhadap… https://t.co/8ItrfO4sFn",peka b40 bertujuan keperluan untuk kesihatan menampung golongan rendah berpendapatan memberi fokus,1
Inisiatif Kerajaan MySalam menyediakan perlindungan kesihatan takaful percuma kepada individu B40 yang juga penerim… https://t.co/XjE04uk6CQ,inisiatif kerajaan mysalam menyediakan perlindungan kesihatan takaful individu b40 pener,1
i-SINAR dibuka kepada semua ahli KWSP yang terjejas pendapatan akibat COVID-19.. #kerajaangagal,i sinar dibuka ahli kwsp terjejas pendapatan akibat covid 19,1
"Susulan daripada pengumuman Belanjawan 2021, kadar berkanun caruman syer pekerja untuk KWSP yang baru adalah 9%, be… https://t.co/WkN9qk5zZQ",belanjawan 2021 tambahan kadar berkanun karuman syer pekerja untuk kwsp baru 9 menjadi,1
Bantuan sebanyak RM180 dalam bentuk kredit telekomunikasi untuk perbelanjaan langganan internet atau menampung seba… https://t.co/brAef6DUb1,bantuan 180 bentuk kredit telekomunikasi untuk perbelanjaan langganan internet menampung seba,1
"Program #SayaDigital bertujuan meningkatkan kadar celik digital dalam kalangan rakyat B40, belia, warga emas dan ku… https://t.co/TADNtRH96S",bertujuan program meningkatkan kadar peningkatan digital kalangan rakyat b40 belia warga emas,1
"4000 warga ATM terima bantuan Musaadah berjumlah RM800,000. #kerajaangagal",4000 warga atm terima bantuan musaadah terima rm800 000,1
"2,195 laman sesawang judi dalam talian disekat.-SKMM. #kerajaangagal",2 195 laman sesawang judi talian disekat skmm,0
"@Khairykj #kerajaanGagal #kerajaanLemah
Dalam bulan ramadhan ni, semoga Allah makbulkan doa2 rakyat teraniya dan Al… https://t.co/JkHgWAGza6",bulan ramadhan semoga allah makbulkan doa2 rakyat teraniya al,1
Institut Keselamatan dan Kesihatan Pekerjaan Negara (NIOSH) membangunkan platform latihan asas keselamatan jalan ra… https://t.co/DSpKxTC4JJ,institut keselamatan kesihatan pekerjaan negara niosh platform asas latihan keselamatan jalan ra,1
"Pakej bantuan khas PERMAI 2021 : Bantuan sekaligus RM500 kepada pemandu pelancong, pemandu teksi serta pemandu bas… https://t.co/AZHPp2zhYS",pakej bantuan khas permai 2021 bantuan bantuan 500 pemandu pelancong pemandu pemandu bas,1
PTPTN: Mereka terjejas boleh memohon moratorium bayaran balik pinjaman selama tiga bulan sehingga 31 Mac. #kerajaangagal,ptptmereka n terjejas memohon moratorium bayaran balik pinjaman tiga bulan 31 mac,1
"Pakej bantuan khas PERMAI 2021 : Pelepasan cukai khas sehingga RM2,500 bagi pembelian telefon bimbit, komputer dan… https://t.co/Q56YbdXwl7",pakej bantuan khas permai 2021 pelepasan cukai khas rm2 500 untuk pembelian telefon bimbit komputer bimbit,1
"Pakej bantuan khas PERMAI 2021 : Program Subsidi Upah – Untuk tempoh satu bulan, majikan yang layak akan menerima s… https://t.co/X5YzSlSMKx",pakej bantuan khas permai 2021 program subsidi upah untuk tempoh satu bulan majikan layak,1
Pakej bantuan khas PERMAI 2021 : RM50 juta disalur kepada NADMA bagi perbelanjaan operasi bencana semasa tempoh Mon… https://t.co/tSBwIms0zv,pakej bantuan khas permai 2021 rm50 juta disalur nadma perbelanjaan operasi bencana semasa mon,1
"Kita Prihatin merangkumi Bantuan Prihatin Nasional (BPN) 2.0 berjumlah RM7 bilion, Program Subsidi Upah 2.0 (RM2.4… https://t.co/u491UsOnYm",merangkumi bantuan prihatin nasional bpn 2 0 rm7 bilion program subsidi upah 2 0 rm2 untuk,1
"Semasa tempoh pelaksanaan PKP, bantuan moratorium dan pengurangan bayaran balik pinjaman disediakan. –PM. #kerajaangagal",pelaksanaan tempoh pkp bantuan moratorium bayaran balik pinjaman disediakan malam,1
i just wanna say #KerajaanGagal,Saya mahu mengatakan,0
"Geran khas sebanyak RM3,000 disediakan di bawah Pakej Rangsangan Ekonomi Prihatin Rakyat (PRIHATIN PKS) kepada seti… https://t.co/448LHZ8hox",geran khas rm3 000 bawah pakej rangsangan ekonomi prihatin pks seti,1
Insentif cukai untuk pembelian kereta – RM897 juta. #kerajaangagal,insentif cukai untuk pembelian kereta 897 juta,1
Pakej Pelan Jana Semula Ekonomi Negara (PENJANA) pada awal Jun lalu mengumumkan pengecualian cukai jualan sepenuhny… https://t.co/mkX6pO4woR,pakej pelan jana ekonomi penjana negara awal jun mengumumkan pengecualian cukai jualan sepenuh,1
"24.Geran secara ‘one-off’ sehingga RM5,000 kepada pengendali taska yang berdaftar di bawah Kementerian Pembangunan… https://t.co/yGy5Fx5cYt",24 geran secara bawah satu off 5 000 pengendali taska berdaftar pembangunan kementerian,0
25.Subsidi pengangkutan awam MY30 -RM200 juta. #kerajaangagal,25 subsidi pengangkutan awam my30 rm200 juta,1
memalukan @uumnews ada prof kangkung yg kaki fitnah dan kaki perkauman! #KerajaanGagal,memalukan ada profesor kangkung kaki fitnah kaki perkauman,-1
#kerajaangagal https://t.co/nrfUf3Dfpt,,0
"sakit hati everytime scrolling timeline twitter this week, there’s sooo many sick news &amp; issues, betul2 #KerajaanGagal",sakit hati everytime scrolling timeline twitter this week there sooo many sick news amp issues betul2,-1
"let this hashtag trending for every second, 24/7, 7 days a week. let us choose who should lead us and who should st… https://t.co/ggMHSQBtCf",biarkan hashtag menjadi tren untuk 24 kedua 7 7 hari seminggu marilah memilih memimpin st,0
#KerajaanGagal https://t.co/1Tic6li6d2,,0
@ClimateEnvoy #Brexit #BTSJIN #BreakingNews #BinanceSmartChain #birthday #방탄소년단진 #SEOKJIN    #Amici20 #VaccinesWork… https://t.co/ddL5nVSeRt,,0
"Next pilihan raya kena fikir 100x nak pangkah siapa🙂Cukup la banyak yang zalim sekarang ni😌
#KerajaanGagal",pilihan raya datang kena fikir 100x nak pangkah senyum muka cukup zalim kena lega muka,-1
@MuhyiddinYassin bukan nak cakap dato seri lah tapi. saya hari2 doa2 pemimpin2 zalim yang ada kat malaysia ni mati.… https://t.co/sSWeQMygcc,nak cakap dato seri hari2 doa2 pemimpin2 zalim ada malaysia mati,-1
"#KerajaanGagal
https://t.co/VSFVIupY0C",,0
#KerajaanGagal https://t.co/mrBkPPnaiB,,0
JUDI NUMBER WAN!! toke kata takpe kami bg duit HAHAHAHAHA #KerajaanGagal https://t.co/nLvsLqg87p,judi number wan toke kata takpe duit hahahaha,-1
casino &gt; education #KerajaanGagal @Khairykj https://t.co/nUwBCWgGxp,kasino gt pendidikan,0
@harisprawira Dah mcm takda otak . Kompaun 50k makin mnjdi jdi . Org lain nak cri duit pun spruh mati . Tak perlu l… https://t.co/N5YpmDTxpI,takda otak kompaun 50k mnjdi jdi orang nak cri spruh tak mati perlu l,-1
iz*one disbanded.. ni semua salah kerajaan. #KerajaanGagal,iz one disbanded salah,-1
"@saifulv39 Sebab dia org ni gagal, dia salahkan 1MDB lah @Mustapa_Mohamed #KerajaanGagal",orang gagal salahkan 1mdb,-1
@ruffleseed @fahmi_fadzil @kuasasiswa @PDRMsia boneka #kerajaangagal,boneka,0
"they don't fucking care. The ethos of #KerajaanGagal is ""let's put up a semblance of organisation but the truth is… https://t.co/Nr2eJMFWkM",tidak peduli etos membiarkan organisasi berlaku kebenarannya,-1
"#DoubleStandard
#KerajaanGagal https://t.co/opIFjvLDMG",,0
Sesungguhnya ku merindui nak teraweh di masjid #KerajaanGagal,sesungguhnya merindui nak teraweh masjid,1
MP @PattoKasthuri have you say please. Can indians get justice? Where is the polices' accountability and integrity… https://t.co/ulrWkqbguY,mp katakan orang India mendapat keadilan akauntabiliti integriti polisi,0
Give your parliament seats away if you don’t want to use it boleh tak #KerajaanGagal,berikan parlimen kerusi tidak mahu menggunakannya,-1
"#KerajaanGagal
#KerajaanZalim https://t.co/MlU1LHTK8E",,0
"#KerajaanGagal

#kerajaanZalim

 https://t.co/lfY5G6pLDE",,0
"Sudah tiba masanya rakyat Malaysia BANGKIT!!!

Jangan kita ditekan lagi oleh #KerajaanGagal dan #KerajaanZalim ini.… https://t.co/x19uzn4jtw",tiba masanya malaysia bangkit ditekan,0
"@Khairykj
#KerajaanGagal
Learn from Spore pls sibodoh. Look where r we now! Close to be being classified like India… https://t.co/Ws9g5S0ilQ",belajar penampilan spore pls sibodoh diklasifikasikan india,-1
@ at our government #KerajaanGagal https://t.co/jlIAAVaWcg,kerajaan,0
#KerajaanGagal https://t.co/WrnfMIvCok,,0
#KerajaanGagal https://t.co/dumVuuDhbl,,0
everytime i wake up i wish was in another country... #KerajaanGagal https://t.co/CdT7V4AE2v,kali bangun mahukan berada negara,-1
"@Khairykj Terima kasih @Khairykj 
#KerajaanGagal",terima kasih,1
"Kelantan Darul Kompaun. Takbir 50k!!! #KerajaanGagal 
https://t.co/Jnnd0My36J",kelantan darul kompaun takbir 50k,-1
@malaysiakini Memang betul #Kerajaangagal! Gagal beri kuasa kepada sang penyamun dan perasuah rompak duit rakyat se… https://t.co/5EEJrS7oIR,gagal beri kuasa menyanyikan penyamun perasuah rompak duit rakyat,-1
"@malaysiakini #kerajaangagal sebab berjaya tangkap penyamun, perasuah, geng kartel dan tak beri muka pada orang pol… https://t.co/K3WG8Rvr7B",berjaya tangkap penyamun perasuah geng kartel tak muka beri pol orang,0
#KerajaanGagal https://t.co/ZbcxfeAOIb,,0
"#KerajaanGagal
What a contrast to our neighbour Singapore being rank no. 1 in the world in covid control. Everythin… https://t.co/cPNRPhdOY9",berbeza singapura jiran berada kedudukan no 1 dunia kawalan covid everythin,0
"""Ketika otak letak di atas, ada yang bertindak SEOLAH-OLAH OTAK DI LUTUT"" - Awani 2021

#KerajaanGagal #KerajaanZalim",otak letak atas ada bertindak olah otak lutut awani 2021,-1
