Raw,CD-RE,Polarity
"Semoga kita semua sentiasa berada di bawah lindunganNya dan dijauhkan dari segala ujian…ameen 🤲🏼🤲🏼

#covid_19… https://t.co/74WDFFp0JG",semoga sentiasa berada bawah lindungannya dijauhkan ujian ameen medium light skin tone medium light tone,1
"Bergegar..kan..😉
#covidMalaysia #covid19Malaysia https://t.co/aoNhFwSrSQ",bergegar wajah mengedipkan mata,0
"Daily Covid-19 updates. 3142  New Positive Cases &amp; 15 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/Hq4GTuiMZi",harian covid 19 mengemas 3142 kes positif baru amp 15 kematian dilaporkan hari,0
Salam 3K #CovidMalaysia 🤝,salam berjabat tangan 3k,0
"Daily Covid-19 updates. 2733  New Positive Cases &amp; 13 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/QUiVhrA1Yw",harian covid 19 mengemas 2733 kes positif baru amp 13 kematian dilaporkan hari,0
"Daily Covid-19 updates. 2776  New Positive Cases &amp; 13 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/CJyZLYOPw1",harian covid 19 mengemas 2776 kes positif baru amp 13 kematian dilaporkan hari,0
"Daily Covid-19 updates. 2690 New Positive Cases &amp; 10 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/OOjG1GqIJK",harian covid 19 mengemas 2690 kes positif baru amp 10 kematian dilaporkan hari,0
And also i request all the malaysian pls be aware about the covid-19...follow the SOP's and its our responsibility… https://t.co/lcQ7t6qKs4,meminta malaysian pls sedar covid 19 mengikuti sop s tanggungjawabnya,0
"Daily Covid-19 updates. 2717 New Positive Cases &amp; 11 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/BpyVKtjvxI",harian covid 19 kemaskini 2717 kes positif baharu amp 11 kematian dilaporkan hari,0
"Daily Covid-19 updates. 2847  New Positive Cases &amp; 8 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/o1CgrsnxxA",harian covid 19 mengemas 2847 kes positif baru amp 8 kematian dilaporkan hari,0
"After 1 fucking year of dumb measures that ruined many livelihood, this is what he gotta say... #KKMgagal #kkm… https://t.co/HwJCRtfXlh",1 tahun fucking langkah langkah bodoh merosakkan mata pencarian katakan,-1
Malaysia should lead an example as Japan! #covidmalaysia https://t.co/llxCS2P1sp,malaysia patut terajui contoh jepun,0
"Daily Covid-19 updates. 2875  New Positive Cases &amp; 7 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/7jeBbYJ2G3",harian covid 19 mengemas 2875 kes positif baru amp 7 kematian dilaporkan hari,0
4th wave? #covidmalaysia https://t.co/lvSNCcPSiO,Gelombang untuk,0
"Daily Covid-19 updates. 2340  New Positive Cases &amp; 11 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/9yEcHNg9b7",harian covid 19 kemaskini 2340 kes positif baharu amp 11 kematian dilaporkan hari,0
