Raw,CD-RE,Polarity
Time raya juak sik blh merentas ðŸ˜€ðŸ˜€ tpi bazaar blh bukak ðŸ™‰ kali rah bazaar sikda covid kkya time raya covid auto ada #KerajaanGagal,time raya juak sik merentas grinning face bazaar bukak hear no evil monkey kali rah bazaar sikda covid kkya time raya covid auto ada,1
@501Awani Guna saluran yang betul is not valid anymore. Banyak isu sekarang yang at least ada penyelesaian semua guâ€¦ https://t.co/iCT2wJuiNL,guna saluran betul tak sah isu sekurang kurangnya ada penyelesaian gu,-1
"Kan dah kata, lelaki Melayu Isle Konservatif takleh kawal emosi &amp; nafsu macam natang liar 

Dayus. Inilah sebab utaâ€¦ https://t.co/u5qDnSbTrY",kata melayu isle konservatif takleh kawal emosi amp nafsu natang liar dayus uta,-1
"@501Awani Kenapa tak ajak rakyat join sekali berbuka? Kan kerajaan PN ni ""prihatin"" so tak salah kan ajak rakyat beâ€¦ https://t.co/AYfKNRokPV",tak ajak rakyat sertai berbuka kerajaan kerajaan pn prihatin jadi tak salah ajakan rakyat menjadi,-1
#CoronavirusIndia #FlipFlop #flipped #sports #soutienauxgeneraux #à¸§à¸´à¸Šà¸²à¸ªà¸²à¸¡à¸±à¸64 #ØªØ¬Ù…Ø¹_Ø§Ù„Ø¨ÙŠØ¶Ø§Øª #fight #KerajaanGagalâ€¦ https://t.co/RXEBQwWn0f,,0
"Errr no, #KerajaanGagal adalah musuh kita bersama https://t.co/EuL9ZtA0Zd",errr no musuh,-1
"Ingat bulan Ramadhan ni setan digari...

...tapi rupanya byk setan diam &amp; membiarkan kerosakan berlaku...

Byk jugaâ€¦ https://t.co/Zgzieo4TDm",bulan ramadhan setan digari byk setan diam amp kerosakan berlaku byk,-1
@faizxzikry isu semasa lepatu #KerajaanGagal  lepastu fazura,isu lepatu lepastu fazura,0
#EatYourFriendsDay #FindYourStar #NFLDraft #TalksWithJaDinesEp1 #saveà¹€à¸žà¸™à¸à¸§à¸´à¸™ #KerajaanGagal #IZONE #wednesdaythought https://t.co/3Je2jbLiRt,,0
"Betul tuu. Rakyat Malaysia kena bersatu. 

Tak payah peduli VVIP, Menteri, Selebriti ke sesiapa yang buat hal. Peegâ€¦ https://t.co/yi2RGiCLI6",tuu rakyat malaysia kena bersatu tak payah peduli vvip menteri selebriti sesiapa peeg betul,0
"Menteri yg cetuskan gelombang covid masa kita hampir menang dulu patut masuk jail lah giler. lucutkan jawatan, bayar pampasan #Kerajaangagal",menteri cetuskan gelombang covid masa patut masuk penjara giler lucutkan jawatan bayar pampasan,-1
?? #KerajaanGagal https://t.co/OaRyyfErSD,,0
"Fvck, Malaysia makin hati makin rosak.

#KerajaanGagal https://t.co/NedLfUMl0C",fvck malaysia hati rosak,-1
@DrRozanizam Seperti semua tahu. Kita pernah menang dahulu. Sudah ikut apa yg kerajaan mahukan duduk dirumah ikut sâ€¦ https://t.co/gLejvQrEEw,tahu menang ikut kerajaan duduk dirumah s,0
Yg buat sidang media skrg tak function. Nampak kan? #KerajaanGagal https://t.co/qcmdePpRac,media tak berfungsi,-1
"Three things need to be tweeted before sleep. 

#KerajaanGagal 
#DengkiKe 
Fazura",tiga perkara perlu tweet fazura tidur,0
"Dimana hala tuju Malaysia sekarang ini? 
#KerajaanGagal",dimana tuju hala malaysia,0
"To this damn government, yes #KerajaanGagal https://t.co/iW2EZWDpwp",kerajaan sialan ya,-1
"were living in Malaysia with funny government and funny decisions 

#KerajaanGagal 
#CancelTimbalanIGP 
#Plandemik",tinggal malaysia keputusan pemerintah lucu lucu,-1
"@PDRMsia da sedar ke belum ni? Beria saman sana sini, lastÂ² jd la kambing hitam..abis rakyat kutuk korang mcmÂ²,â€¦ https://t.co/gSIMnixNDO",sedar ada beria saman last2 jadi kambing hitam abis rakyat kutuk mcm2,-1
"@MuhyiddinYassin kami tau kau banyak buat inisiatif sebelum ini, tapi sekarang lain cerita. makin hari makin terukâ€¦ https://t.co/1QAasTvOOF",tahu kau inisiatif cerita hari teruk,-1
"Are we as Malaysians going to standby and let this happen to us?
#KerajaanGagal 
#KerajaanZalim https://t.co/EOZbSqMEnu",adakah orang malaysia bersiap sedia membiarkan berlaku,0
"Elaun khas  RM200 sebulan kepada anggota tentera, polis, kastam, imigresen, anggota Angkatan Pertahanan Awam sertaâ€¦ https://t.co/p9wUxQd4kb",elaun khas rm200 sebulan anggota tentera polis kastam imigresen angkatan anggota pertahanan awam anggota tentera,1
"Dear Malaysia, fix yourself. You don't need much. Just listen. LISTEN TO WHAT THE PEOPLE HAVE TO SAY AND ACT ACCORDâ€¦ https://t.co/qoimPhaC4C",Malaysia sayang memperbaiki tidak memerlukan mendengar dikatakan orang orang bertindak sesuai,1
@mkini_bm Kerajaan Negeri power ðŸ‘ðŸ‘ðŸ‘.  #KerajaanGagal,kerajaan negeri power thumbs up thumbs up thumbs up,1
"1st rule living in Malaysia;
Dilarang menjadi miskin.
#KerajaanGagal https://t.co/yvie0f3Hqv",1 rule living in malaysia dilarang jadi miskin,-1
"Easter egg dalam Avengers 
#KerajaanGagal https://t.co/bJKGG07UZT",telur easter avengers,0
"I made one
#KerajaanGagal https://t.co/BluN3GYyjj",membuatnya,0
@keroaje @Khairykj #KerajaanGagal,,0
"Sini cobain jadi orang susah,biar tau gimana rasanya dihina  orang berduit. 
#IkatanCintaEp253 #AmankanRemoteTVâ€¦ https://t.co/z5Fup2GCx9",cobain jadi orang susah biar tahu gimana rasanya dihina orang berduit,-1
Raya 2020-2021 bukan lagi bermaksud kunjung mengunjungi untuk rapatkan siratulrahim. Tapi lebih kepada kunjung mengâ€¦ https://t.co/DC1jvQtArl,raya 2020 2021 bermaksud kunjung mengunjungi untuk rapatkan siratulrahim kunjung meng,1
@PenerangHARAPAN Disebabkan malas lah #KerajaanGagal,disebabkan malas,0
malaysia dah tenat. #KerajaanGagal,malaysia tenat,-1
malaysia nak mcm ni ke? ye #KerajaanGagal  tapi please jgn lupa #KitaJagaKita  ini Allah kemain semua g baazar tarâ€¦ https://t.co/itWp9eP2nc,malaysia nak ya tolong allah kemain pergi baazar tar,0
@501Awani @MuhyiddinYassin #KerajaanGagal,,0
"Kerajaan tambah baik aplikasi MySejahtera supaya  orang ramai boleh mendaftarkan program vaksinasi ibu, bapa, datukâ€¦ https://t.co/0zZXSl3dCn",kerajaan baik tambah aplikasi mysejahtera orang ramai mendaftarkan program vaksinasi bapa ibu datuk,1
"Bantuan khas kewangan, RM50,000 jika kesan sampingan yang serius kepada penerima vaksin dan RM500,000 jika hilang uâ€¦ https://t.co/PLpwGtawbm",Bantuan khas 50 000 ada kesan sampingan penerima vaksin rm500 000 hilang u,1
Pelan Halatuju Strategik e-Dagang 2.0 (NESR 2.0) manjadi pemangkin pertumbuhan ekosistem e-Dagang dan Malaysia adalâ€¦ https://t.co/XgUyLFwLFo,pelan halatuju strategik e dagang 2 0 nesr 2 0 manjadi pemangkin pertumbuhan sistem ekoe dagang malaysia adal,1
#JusticeforGanapathy #PDRMgagal #KerajaanGagal,,0
"Malaysia berjaya memperoleh tambahan 10,000 kuota haji menjadikan kuota rasmi haji Malaysia adalah sebanyak 41,600 orang. #kerajaangagal",malaysia berjaya memperoleh 10 000 tambahan kuota haji menjadikan kuota rasmi haji malaysia 41 orang berjumlah 41 600 orang,1
"Ingat ya tuan-tuan. Ini kerajaan 8374.

Kalau tak function, tahu lah puncanya siapa.

#KerajaanGagal #KerajaanZalim https://t.co/rb3N0OhMPf",ya tuan ingat kerajaan 8374 tak fungsi tahu puncanya,0
"Peka B40 bertujuan untuk menampung keperluan kesihatan golongan berpendapatan rendah, dengan memberi fokus terhadapâ€¦ https://t.co/8ItrfO4sFn",peka b40 bertujuan keperluan untuk kesihatan menampung golongan rendah berpendapatan memberi fokus,1
Inisiatif Kerajaan MySalam menyediakan perlindungan kesihatan takaful percuma kepada individu B40 yang juga penerimâ€¦ https://t.co/XjE04uk6CQ,inisiatif kerajaan mysalam menyediakan perlindungan kesihatan takaful individu b40 pener,1
i-SINAR dibuka kepada semua ahli KWSP yang terjejas pendapatan akibat COVID-19.. #kerajaangagal,i sinar dibuka ahli kwsp terjejas pendapatan akibat covid 19,1
"Susulan daripada pengumuman Belanjawan 2021, kadar berkanun caruman syer pekerja untuk KWSP yang baru adalah 9%, beâ€¦ https://t.co/WkN9qk5zZQ",belanjawan 2021 tambahan kadar berkanun karuman syer pekerja untuk kwsp baru 9 menjadi,1
Bantuan sebanyak RM180 dalam bentuk kredit telekomunikasi untuk perbelanjaan langganan internet atau menampung sebaâ€¦ https://t.co/brAef6DUb1,bantuan 180 bentuk kredit telekomunikasi untuk perbelanjaan langganan internet menampung seba,1
"Program #SayaDigital bertujuan meningkatkan kadar celik digital dalam kalangan rakyat B40, belia, warga emas dan kuâ€¦ https://t.co/TADNtRH96S",bertujuan program meningkatkan kadar peningkatan digital kalangan rakyat b40 belia warga emas,1
"4000 warga ATM terima bantuan Musaadah berjumlah RM800,000. #kerajaangagal",4000 warga atm terima bantuan musaadah terima rm800 000,1
"2,195 laman sesawang judi dalam talian disekat.-SKMM. #kerajaangagal",2 195 laman sesawang judi talian disekat skmm,0
"@Khairykj #kerajaanGagal #kerajaanLemah
Dalam bulan ramadhan ni, semoga Allah makbulkan doa2 rakyat teraniya dan Alâ€¦ https://t.co/JkHgWAGza6",bulan ramadhan semoga allah makbulkan doa2 rakyat teraniya al,1
Institut Keselamatan dan Kesihatan Pekerjaan Negara (NIOSH) membangunkan platform latihan asas keselamatan jalan raâ€¦ https://t.co/DSpKxTC4JJ,institut keselamatan kesihatan pekerjaan negara niosh platform asas latihan keselamatan jalan ra,1
"Pakej bantuan khas PERMAI 2021 : Bantuan sekaligus RM500 kepada pemandu pelancong, pemandu teksi serta pemandu basâ€¦ https://t.co/AZHPp2zhYS",pakej bantuan khas permai 2021 bantuan bantuan 500 pemandu pelancong pemandu pemandu bas,1
PTPTN: Mereka terjejas boleh memohon moratorium bayaran balik pinjaman selama tiga bulan sehingga 31 Mac. #kerajaangagal,ptptmereka n terjejas memohon moratorium bayaran balik pinjaman tiga bulan 31 mac,1
"Pakej bantuan khas PERMAI 2021 : Pelepasan cukai khas sehingga RM2,500 bagi pembelian telefon bimbit, komputer danâ€¦ https://t.co/Q56YbdXwl7",pakej bantuan khas permai 2021 pelepasan cukai khas rm2 500 untuk pembelian telefon bimbit komputer bimbit,1
"Pakej bantuan khas PERMAI 2021 : Program Subsidi Upah â€“ Untuk tempoh satu bulan, majikan yang layak akan menerima sâ€¦ https://t.co/X5YzSlSMKx",pakej bantuan khas permai 2021 program subsidi upah untuk tempoh satu bulan majikan layak,1
