Raw,CD-RE,Polarity
"@k_izzuddin Diorang faham I kecewa sbb I semangat gila study untuk UPSR, hari2 study hard. Pagi skolah, ptg klas tm… https://t.co/Neio6lSU4p",diorang faham kecewa semangat i gila belajar untuk upsr hari2 belajar keras pagi skolah petang klas tm,-1
"@firthism Same here, I was bullied by my classmates in year 5(2014) and my father died that year, the next year is… https://t.co/OAscEwKdIW",dibuli rakan sekelas tahun 5 2014 ayah meninggal tahun berikutnya,-1
kpm pikirla dlu pasal pt3 upsr smue bnde tu aku nk enjoy jgn petik pasal result dhla,kpm pikirla pasal pt3 upsr smue bnde nak enjoy petik pasal result dhla,-1
"Bermula dgn upsr 2A 2B 1C, tpi spm diakhiri dengan 8A 1B https://t.co/LoG6BEIQfl",upsr 2a 2b 1c spm diakhiri 8a 1b bermula,1
upsr repeat https://t.co/67qEkTXnuh,ulangan upsr,0
"UPSR dalam kenangan !!! 
1996...",upsr kenangan 1996,-1
"@k_izzuddin UPSR tahun 2009. Tak tahu mcm mana boleh dapat 5A, tak jangka pun. Sbb rasanya mmg tak struggle. Masa r… https://t.co/PXO08BFSFs",upsr tahun 2009 tahu tak 5a tak jangka rasanya mmg tak perjuangan masa r,1
UPSR is gone forever. Actually it's a bad idea by the government 🌚,upsr hilang idea buruk kerajaan baru menghadapi bulan,-1
"UPSR 2011: 5A
Time ni cikgu aku macam tak percaya sebab aku dulu dikenali sebagai ratu tidur dalam kelas😔 https://t.co/htAltPkWWq",upsr 2011 5a time cikgu tak percaya percaya dikenali ratu tidur kelas pensive face,0
Sedihnya UPSR dah kena mansuh,sedihnya upsr kena mansuh,-1
"upsr mansuh , pt3 batal , spm dengan stpm tunda .",upsr mansuh pt3 batal spm stpm tunda,-1
"Comeback result trial UPSR, 
UPSR 2006 is 2A 2B 1C 😶 https://t.co/TYPSocpCly",percubaan hasil comeback upsr upsr 2006 wajah 2a 2b 1c mulut,1
Alhamdulillah time upsr laa boleh berlagak pandai hahah https://t.co/KSNNUkKbLQ,alhamdulillah time upsr laa berlagak pandai hahah,1
"UPSR sudah dimansuhkan.

Aku masih ingat lagi result UPSR aku tahun 1999.

2A 2B 1C",upsr dimansuhkan ingat hasil upsr tahun 1999 2a 2b 1c,-1
Alhamdulillah muka straight A's UPSR 2015 ! https://t.co/z0MlQvH7tv https://t.co/sO6V5TUftb,alhamdulillah muka straight a s upsr 2015,1
UPSR tinggal kenangan? Aku yang batch PTS sekejap lagi dah lama tinggal kenangan. Sampai skrg tak boleh lupa pernah… https://t.co/lVfIOwomxJ,upsr tinggal kenangan batch pts sekejap kenangan tak lupa,-1
Sedih juga UPSR dimansuhkan. Aku batch terakhir UPSR 4 subjek. Dapat pula 4 A. Perghhh.,sedih upsr dimansuhkan batch upsr untuk subjek untuk perghhh,-1
Done merasa kena banding result UPSR. Tapi bukan aku la yg result teruk tu. Sepupu aku 🤣🤣. Membe bangang makcik aku… https://t.co/IRW2WUxQTz,done merasa kena banding result upsr result teruk sepupu rolling on the floor laughing rolling on the floor laugh membe bangang makaku cik,-1
"(1988-2020) upsr dalam kenangan, Al-Fatihah.",1988 2020 upsr kenangan al fatihah,-1
@ahmadbelia Zaman dulu ada upsr ke.,zaman ada upsr,0
"4A 1B, B sains sbb dulu benci sains. Last² dh besar end up study Chemical Engineering in Bioprocess 🤣 Kenangan UPSR… https://t.co/urchlukyBT",4a 1b sains benci sains last2 belajar kejuruteraan kimia bioproses bergulir lantai ketawa kenangan upsr,-1
(UPSR 2014) 2A 2B 1C. Batch tersakiti paling banyak repeat paper upsr😍👍 https://t.co/Fll0t4HF3e,upsr 2014 2a 2b 1c batch tersakiti repeat paper upsr smiling face with heart eyes thumbs up,-1
UPSR dimansuhkan!?? Sia2 aku dapat straight A tapi adik2 sedara ngan anak2 buah aku tak tahu sebab zaman depa dh takde UPSR😩,upsr dimansuhkan sia2 straight a adik2 sedara ngan anak2 buah tak tahu tak zaman depa takde upsr weary face,-1
"like, if we doesn't even get good results for upsr. not that we couldn't do well in sekolah menengah. aigoo https://t.co/K4GiA9l1Iw",tidak mendapat hasil baik untuk upsr tidak melakukannya baik sekolah menengah aigoo,1
