Raw
"Semoga kita semua sentiasa berada di bawah lindunganNya dan dijauhkan dari segala ujian…ameen 🤲🏼🤲🏼

#covid_19… https://t.co/74WDFFp0JG"
"Bergegar..kan..😉
#covidMalaysia #covid19Malaysia https://t.co/aoNhFwSrSQ"
"Daily Covid-19 updates. 3142  New Positive Cases &amp; 15 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/Hq4GTuiMZi"
Salam 3K #CovidMalaysia 🤝
"Daily Covid-19 updates. 2733  New Positive Cases &amp; 13 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/QUiVhrA1Yw"
"Daily Covid-19 updates. 2776  New Positive Cases &amp; 13 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/CJyZLYOPw1"
"Daily Covid-19 updates. 2690 New Positive Cases &amp; 10 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/OOjG1GqIJK"
And also i request all the malaysian pls be aware about the covid-19...follow the SOP's and its our responsibility… https://t.co/lcQ7t6qKs4
"Daily Covid-19 updates. 2717 New Positive Cases &amp; 11 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/BpyVKtjvxI"
"Daily Covid-19 updates. 2847  New Positive Cases &amp; 8 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/o1CgrsnxxA"
"After 1 fucking year of dumb measures that ruined many livelihood, this is what he gotta say... #KKMgagal #kkm… https://t.co/HwJCRtfXlh"
Malaysia should lead an example as Japan! #covidmalaysia https://t.co/llxCS2P1sp
"Daily Covid-19 updates. 2875  New Positive Cases &amp; 7 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/7jeBbYJ2G3"
4th wave? #covidmalaysia https://t.co/lvSNCcPSiO
"Daily Covid-19 updates. 2340  New Positive Cases &amp; 11 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/9yEcHNg9b7"
