,Raw,CD-RE,Polarity
0,"Abdul Hadi kini sedang menerima rawatan susulan di Institut Jantung Negara atas nasihat doktor. #sinarharian 

https://t.co/tFyTea1f5G",abdul hadi menerima rawatan rawatan rawatan institut jantung negara atas nasihat doktor,-1
1,Neymar dan Kylian Mbappe mampu jadi igauan ngeri buat Manchester City dalam pertemuan separuh akhir pertama Liga Ju… https://t.co/MeMqHCjQmN,neymar kylian mbappe jadi igauan ngeri bandar raya pertemuan separuh pertama liga akhir,-1
2,"Kelab Bundesliga, RB Leipzig dilaporkan bersetuju dengan terma kontrak ditetapkan pengendali RB Salzburg, Jesse Mar… https://t.co/XaSaHgvyS7",kelab bundesliga rb leipzig dilaporkan kontrak terma ditetapkan pengendali rb salzburg jesse mar,0
3,"""Sebelum itu, kita menahan dua lelaki yang juga rakan kepada suspek utama kira-kira jam 11.30 malam pada hari kejad… https://t.co/jNh5iM4PHy",dua lelaki mempunyai rakan suspek utama kira kira jam 11 30 malam hari kejad,0
4,"Pengerusi MAHB, Datuk Seri Dr Zambry Abdul Kadir berkata, pihaknya tekad menjaga dan memastikan kebajikan kira-kira… https://t.co/ylDNoytUNU",pengerusi mahb datuk seri zambry abdul kadir berkata pihaknya tekad menjaga kebajikan kira kira,1
5,"Pengerusi UMNO Pahang, Datuk Seri Wan Rosdy Wan Ismail berkata, perkara itu diputuskan setelah kedua-dua parti bers… https://t.co/aWOptRQPJF",pengerusi umno pahang datuk seri wan rosdy wan ismail berkata perkara diputuskan kedua dua bers parti,0
6,"ASTAF dalam satu kenyataan memaklumkan penggantungan itu, sehingga perbicaraan diadakan, telah diserahkan kepada PS… https://t.co/X4wDMlcGS2",astaf satu kenyataan penggantungan perbicaraan diserahkan,-1
7,"Datuk Masidi Manjun yang juga jurucakap kerajaan negeri mengenai Covid-19 berkata, keputusan itu dibuat berdasarkan… https://t.co/WZ6fUuqQIR",datuk masimanjun kerajaan negeri mengenai covid 19 berkata keputusan dibuat berdasarkan keputusan,0
8,"Muhyiddin turut menunaikan solat Maghrib, Isyak dan solat sunat tarawih berjemaah yang diimamkan Imam Besar Masjid… https://t.co/72uO4Pan1j",muhyiddin turut menunaikan solat maghrib isyak solat sunat berjemaah tarawih diimamkan imam besar masjid,1
9,"Perkara itu disahkan Setiausaha Politik, Datuk Sham Mat Sahat selepas Majlis Sambutan Nuzul Al-Quran peringkat nege… https://t.co/I5YKDDdQKi",setiausaha politik datuk sham mat sahat majlis sambutan nuzul al quran peringkat nege,0
10,"Pada majlis itu, Sultan Nazrin turut berkenan menyampaikan bantuan hari raya daripada dana zakat MAIPk berjumlah RM… https://t.co/urJAInT6Tk",Pada majlis sultan nazrin berkenan menyampaikan bantuan hari raya dana zakat maipk berjumlah rm,1
11,"Anugerah yang membawa gelaran Knight of the National Order of Merit, anugerah kedua tertinggi di negara itu, disamp… https://t.co/7jBuwVINUX",anugerah gelaran knight of the national order of merit anugerah kedua tertinggi negara disamp,1
12,"“Pengumuman rasmi akan dilakukan pada mesyuarat exco MPM selepas hari raya Aidilfitri nanti."" - Datuk Seri Megat D… https://t.co/JIYkKki5Nq",pengumuman rasmi dilakukan mesyuarat exco mpm selepas hari raya aidilfitri datuk seri megat d,0
13,"""Kami mendapati majoriti pekerja asing di negara ini tinggal di asrama yang sesak, padat, kabin tapak pembinaan dan… https://t.co/cSRZJBbBfr",Kami mendapati pekerja majoriti negara tinggal asrama mempunyai tapak pembinaan kabin padat padat,-1
14,"Menterinya, Datuk Seri Nancy Shukri berkata, iftar yang dijalankan secara dalam talian di Facebook rasmi JKKN pada… https://t.co/CZ0fG7mHhc",menterinya datuk seri nancy shukri berkata iftar dijalankan secara rasmi talian facebook jkkn rasmi,0
15,"Tan Sri Mohd Khairul Adib Abd Rahman berkata, JPA sudah mengeluarkan surat yang memberikan tempoh sebulan kepada se… https://t.co/FFFfte0wGX",tan sri mohd khairul adib abd rahman berkata jpa mengeluarkan surat memberikan sebulan,0
16,Polis Perak akan meningkatkan SJR di kawasan yang bersempadan dengan negeri bagi mengekang pergerakan rentas negeri… https://t.co/ZRrtqpzlgR,polis perak meningkatkan sjr kawasan bersempadan negeri mengekang pergerakan rentas negeri,-1
17,"Ayub Jamil berkata, tempoh operasi yang dibenarkan ketika ini adalah memadai, cukup untuk membantu peniaga, dan ker… https://t.co/tYhMv956Ca",ayub jamil berkata tempoh operasi dibenarkan memadai cukup untuk membantu peniaga ker,0
18,"Datuk Mat Kasim Karim berkata, tindakan undang-undang boleh diambil di bawah Seksyen 8 Akta Bahan Letupan 1957(Akta… https://t.co/bqbCMm176X",datuk mat kasim karim berkata undang undang tindakan diambil bawah seksyen 8 akta letupan bahan 1957 akta,-1
19,Mangsa yang berusia 3 dan 7 tahun dikhuatiri lemas selepas motosikal ditunggangi ibu mereka hilang imbangan semasa… https://t.co/ZHfHnr0M6x,mangsa berusia 3 7 tahun dikhuatiri lemas selepas motosikal ditunggangi ibu hilang imbangan semasa,-1
20,"Dua kanak-kanak berada dalam keadaan kritikal. #sinarharian

https://t.co/oVfww3Ec6P",kanak kanak kanak kanak berada keadaan kritikal,-1
