,Raw,CD-RE,Polarity
0,"Police are supposed to protect citizen but if they killed the citizen, who can we rely on?
#JusticeforGanapathy https://t.co/XH3EXK0rW4",polis sepatutnya lindungi warga negara bunuh warga negara bergantung,-1
1,@Rameshhh15 #JusticeforGanapathy ✊,penumbuk terangkat,0
2,Malaysian indians are only 7% of the population but studies has shown that almost 55% of malaysian indians has died… https://t.co/7HaDZC8cNj,India malaysia 7 populasi kajian menunjukkan 55 orang India malaysia meninggal dunia,-1
3,"Sorry but kenapa aq rasa yang kes saman RM 50K tu diviralkan sbb nak tutup benda2 mcm ni eh

 #JusticeforGanapathy https://t.co/kM1HgpHAML",maaf rasa kes rm 50k diviralkan nak tutup benda2 eh,-1
5,"Say it rights. Ganapathy wan an Indian Malaysian.

Diaspora of Malaysian Indian should deal with Indian authorities… https://t.co/UJVsD1R5Da",mengatakan hak ganapathy wan diaspora malaysia India malaysia india berurusan pihak berkuasa India,-1
7,"He didn’t deserve this. He’s innocent. Even though, he’s guilty. He didn’t deserve this. This could happen to any o… https://t.co/1XkSM4A4fN",tidak layak mendapat tidak bersalah bersalah tidak layak mendapat berlaku,-1
10,why do i lowkey feel like this Ganapathy case gets less exposure ? come on #JusticeforGanapathy,lowkey merasa kes ganapathy kurang pendedahan muncul,-1
12,"We're so quick to judge. So quick to punish. That's how we are online and irl. 

This is what that behavior looks l… https://t.co/uygU44FR9e",cepat menilai cepat untuk menghukum berada talian menjengkelkan tingkah laku kelihatan,0
13,"Zalim sungguh!
#PDRMgagal #JusticeForGanapathy 
https://t.co/tFVVPCn9q2",zalim sungguh,-1
14,"The underwhelming response for #JusticeforGanapathy speaks volumes about the position of Indians in Malaysia. 

Peo… https://t.co/NoXd78k15a",tindak balas luar untuk bercakap mengenai kedudukan orang India malaysia peo,0
16,"Can't stress this enough!!! #JusticeforGanapathy

Cc: @balankash ❤️ https://t.co/y93yLdKZc9",tidak menekankan jantung merah cc cukup,-1
17,"Disappointing.

#JusticeforGanapathy https://t.co/oWWO7yYjn3",mengecewakan,-1
19,"Push the IPCMC bill. He was someone's son, he was someone's father. How many more people need to die before somethi… https://t.co/8PSh7b0a9L",tolak rang undang undang ipcmc anak lelaki ayah orang perlu mati,-1
20,Oh wait.. #JusticeforGanapathy,oh tunggu,0
21,"#JusticeforGanapathy 

I have been singled out by police officers even as a Malay for looking a certain way. I can… https://t.co/S0kavt4yFz",Saya dipilih pegawai polis malay mencari cara,-1
22,"Police need to stop misuse their power 
#JusticeforGanapathy https://t.co/Co42fqW22J",polis perlu henti salah guna kuasa,-1
23,All of yall are so silent about it #JusticeforGanapathy  #MakeSchoolASaferPlace,yall senyap mengenainya,0
25,"@notsoaidil Justice for Ganapathy!
 
#JusticeforGanapathy
#JusticeforGanapathy
#JusticeforGanapathy… https://t.co/DQQARyuMLI",keadilan untuk ganapathy,1
27,ada yg boleh bagi link or explain what happen #JusticeforGanapathy,ada pautan jelaskan berlaku,0
28,"the IPCMC bill needs to be passed and implemented. all these police brutality cases are so sickening.
the governmen… https://t.co/omVQZfWKzt",Rang undang undang ipcmc perlu diluluskan dilaksanakan kes kekejaman polis menyedihkan gabenor,-1
29,how many more persons should die in police custody before the IPCMC Bill is fully implemented &amp; enforced as law?… https://t.co/FiQWHKPVce,orang mati tahanan polis rang undang undang ipcmc dilaksanakan sepenuhnya amp dikuatkuasakan undang undang,-1
30,This deserves more attention! #JusticeforGanapathy,memerlukan perhatian,0
33,"I've heard their experience being discriminate at school, work even public. This sick! I DEMAND A JUSTICE FOR A. GA… https://t.co/WkpmVWRxlx",Saya mendengar pengalaman didiskriminasi sekolah umum sakit menuntut keadilan untuk ga,-1
35,Oh my god this is devastating. #JusticeforGanapathy https://t.co/Gci1khKtuW,oh tuhan dahsyat,-1
38,"A Malaysian Tamil man, Ganapathy spent over twelve days in police custody. He was beaten by the police with a rubbe… https://t.co/yxGZMCvUwX",a malaysian tamil man ganapathy spent over twelve days in police custody he was beaten by the police with a rubbe,-1
40,"Boleh saya tahu apa dah jadi dengan polis di Malaysia sekarang ni @PDRMsia @SyedSaddiq ?

#JusticeforGanapathy",Saya tahu polis malaysia,0
41,"this is so heartbreaking. may justice prevails 😔
#JusticeforGanapathy https://t.co/nu96bj1Cm2",memilukan keadilan mengatasi wajah termenung,-1
42,"police brutality. 
racism semakin menjadi di kalangan kita. Mohon keadilan buat Ganapathy serta ahli keluarga nya. 
#JusticeforGanapathy",kekejaman polis perkauman menjadi mohon keadilan ganapathy ahli keluarga,-1
43,"I feel really heavy thinking of the family lost their father/son/brother for no reason. 

#JusticeforGanapathy",Saya merasa berat memikirkan keluarga kehilangan ayah lelaki,-1
46,@aligatie @aligatie #JusticeforGanapathy ✊🏽,nada kulit sederhana penumbuk,0
